674,48
7161,48
1642,45
1921,104
1296,635
1139,45
2240,151
560,262
4043,7
1517,408
3092,2453
2454,142
1987,136
1062,588
7205,264
7853,396
2149,639
204,244
7650,585
8,87
1684,31
2815,142
1262,7
7260,264
3067,2673
151,2144
1603,73
143,2055
796,7
3013,151
1167,48
2895,151
240,63
558,761
1402,509
2224,104
7513,973
108,126
145,12
1858,56
4,321
193,280
1062,8
8851,48
2627,2071
4562,430
610,75
1622,48
2107,2150
1901,7
2760,104
1223,31
386,48
4644,7
134,1254
4907,703
586,51
4434,7
9498,1375
7133,1335
8988,141
1118,45
3024,75
643,2009
975,20
2242,8
1277,660
267,509
253,204
7072,48
5355,347
2110,19
2096,973
4049,104
6555,27
6195,48
5151,20
471,91
7,149
7142,1643
733,917
256,7
627,142
1808,2529
6008,204
3201,743
7674,48
1226,566
3134,7
1519,143
161,158
4117,551
3754,112
2924,7
1975,136
1334,48
8459,67
347,356
4287,344
4718,20
3237,151
2889,377
213,339
3334,1075
3119,151
5979,123
833,430
1561,142
911,7
4104,7
5091,51
5395,75
3773,7
3033,1707
1517,269
8006,7
1872,292
1664,48
1279,791
2373,347
1265,205
89,104
603,2018
435,20
3342,3031
995,76
5936,1183
1080,166
554,181
2273,456
1875,825
335,356
4481,2090
7672,2239
9364,48
1875,1362
5393,73
994,31
6966,2513
4549,7
35,2197
212,64
6480,60
5148,213
198,119
849,2617
311,268
6362,48
2369,1579
5413,151
5028,75
7397,456
1242,408
3113,640
3242,1060
377,2500
75,585
4970,166
2532,48
2578,752
45,881
1246,51
681,377
2384,7
8,1465
79,54
780,123
268,167
3248,151
2609,579
5199,73
604,262
6708,48
3139,79
171,2449
2369,151
1037,430
3699,7
48,136
1406,151
6137,377
1316,123
8464,123
973,2076
2878,48
417,2018
1818,20
128,143
1126,225
9185,48
9752,3086
1686,7
252,142
56,993
2550,2527
6455,356
7451,151
2918,1043
120,488
2669,151
8241,73
1847,48
2597,2598
1432,229
242,7
4475,7
613,20
6436,151
1362,2246
546,79
1051,1046
1357,1985
4,679
3065,75
29,20
1461,151
5666,20
1887,1073
7551,108
679,126
5320,456
3659,430
575,57
4437,48
303,346
5172,204
6273,48
7,722
692,106
2501,377
217,14
270,0
1220,1300
5162,73
2443,48
392,1934
9435,186
431,119
3261,1896
7238,264
3308,3309
274,462
297,119
631,20
1242,171
6827,292
6875,48
1919,601
1294,20
8638,377
178,20
2838,1280
127,75
1109,27
8220,73
982,947
936,7
1397,784
1233,791
2,153
308,2674
1203,75
230,467
3480,8
767,8
3814,7
73,20
1800,151
20,629
5726,20
573,351
262,478
5581,635
2813,278
582,151
7899,4
2783,418
2541,51
3560,229
1880,20
1919,157
19,1444
9604,430
992,12
1400,377
2041,7
300,75
6064,377
67,336
2745,264
567,7
860,51
1909,56
1067,1223
171,2058
2008,743
1574,522
3314,142
4590,7
638,104
4945,20
855,264
1443,20
4068,123
7464,456
7791,353
2369,2633
1733,123
2297,258
4827,104
5044,1896
1221,151
4495,48
4903,151
91,20
347,142
5728,20
24,91
778,76
1038,1254
